yas;yipranma;is_seyahati;gunluk_oran;departman;evden_uzaklik;egitim;egitim_alani;calisan_sayisi;calisan_no;cevre_memnuniyeti;cinsiyet;saatlik_ucret;is_katilimi;meslek_seviyesi;is_rolu;is_memnuniyeti;medeni_hal;aylik_gelir;aylik_oran;kidem;18_ustu;mesai;maas_zam_yuzde;performans_degerlendirmesi;iliski_memnuniyeti;standart_saatler;stok_opsiyon_seviyesi;toplam_calisma_yili;gecen_sene_egitim_sureleri;is_yasam_dengesi;sirkette_yil;mevcut_rolde_yil;son_promosyondan-buyana_gecen_yil;mevcut_yonetici_ile_yil
41;Evet;Bazen;1102;Satis;1;2;Fen;1;1;2;Kadin;94;3;2;Satis Yoneticisi;4;Bekar;5993;19479;8;Y;Evet;11;3;1;80;0;8;0;1;6;4;0;5
49;Hayir;Surekli;279;Arastirma Gelistirme;8;1;Fen;1;2;3;Erkek;61;2;2;Arastirmaci;2;Evli;5130;24907;1;Y;Hayir;23;4;4;80;1;10;3;3;10;7;1;7
37;Evet;Bazen;1373;Arastirma Gelistirme;2;2;Diger;1;4;4;Erkek;92;2;1;Lobarant;3;Bekar;2090;2396;6;Y;Evet;15;3;2;80;0;7;3;3;0;0;0;0
33;Hayir;Surekli;1392;Arastirma Gelistirme;3;4;Fen;1;5;4;Kadin;56;3;1;Arastirmaci;3;Evli;2909;23159;1;Y;Evet;11;3;3;80;0;8;3;3;8;7;3;0
27;Hayir;Bazen;591;Arastirma Gelistirme;2;1;Tip;1;7;1;Erkek;40;3;1;Lobarant;2;Evli;3468;16632;9;Y;Hayir;12;3;4;80;1;6;3;3;2;2;2;2
32;Hayir;Surekli;1005;Arastirma Gelistirme;2;2;Fen;1;8;4;Erkek;79;3;1;Lobarant;4;Bekar;3068;11864;0;Y;Hayir;13;3;3;80;0;8;2;2;7;7;3;6
59;Hayir;Bazen;1324;Arastirma Gelistirme;3;3;Tip;1;10;3;Kadin;81;4;1;Lobarant;1;Evli;2670;9964;4;Y;Evet;20;4;1;80;3;12;3;2;1;0;0;0
30;Hayir;Bazen;1358;Arastirma Gelistirme;24;1;Fen;1;11;4;Erkek;67;3;1;Lobarant;3;Bosanmis;2693;13335;1;Y;Hayir;22;4;2;80;1;1;2;3;1;0;0;0
38;Hayir;Surekli;216;Arastirma Gelistirme;23;3;Fen;1;12;4;Erkek;44;2;3;Uretim Direktoru;3;Bekar;9526;8787;0;Y;Hayir;21;4;2;80;0;10;2;3;9;7;1;8
36;Hayir;Bazen;1299;Arastirma Gelistirme;27;3;Tip;1;13;3;Erkek;94;3;2;Saglik IsleriTemsilcisi;3;Evli;5237;16577;6;Y;Hayir;13;3;2;80;2;17;3;2;7;7;7;7
35;Hayir;Bazen;809;Arastirma Gelistirme;16;3;Tip;1;14;1;Erkek;84;4;1;Lobarant;2;Evli;2426;16479;0;Y;Hayir;13;3;3;80;1;6;5;3;5;4;0;3
29;Hayir;Bazen;153;Arastirma Gelistirme;15;2;Fen;1;15;4;Kadin;49;2;2;Lobarant;3;Bekar;4193;12682;0;Y;Evet;12;3;4;80;0;10;3;3;9;5;0;8
31;Hayir;Bazen;670;Arastirma Gelistirme;26;1;Fen;1;16;1;Erkek;31;3;1;Arastirmaci;3;Bosanmis;2911;15170;1;Y;Hayir;17;3;4;80;1;5;1;2;5;2;4;3
34;Hayir;Bazen;1346;Arastirma Gelistirme;19;2;Tip;1;18;2;Erkek;93;3;1;Lobarant;4;Bosanmis;2661;8758;0;Y;Hayir;11;3;3;80;1;3;2;3;2;2;1;2
28;Evet;Bazen;103;Arastirma Gelistirme;24;3;Fen;1;19;3;Erkek;50;2;1;Lobarant;3;Bekar;2028;12947;5;Y;Evet;14;3;2;80;0;6;4;3;4;2;0;3
29;Hayir;Bazen;1389;Arastirma Gelistirme;21;4;Fen;1;20;2;Kadin;51;4;3;Uretim Direktoru;1;Bosanmis;9980;10195;1;Y;Hayir;11;3;3;80;1;10;1;3;10;9;8;8
32;Hayir;Bazen;334;Arastirma Gelistirme;5;2;Fen;1;21;1;Erkek;80;4;1;Arastirmaci;2;Bosanmis;3298;15053;0;Y;Evet;12;3;4;80;2;7;5;2;6;2;0;5
22;Hayir;Hic;1123;Arastirma Gelistirme;16;2;Tip;1;22;4;Erkek;96;4;1;Lobarant;4;Bosanmis;2935;7324;1;Y;Evet;13;3;2;80;2;1;2;2;1;0;0;0
53;Hayir;Bazen;1219;Satis;2;4;Fen;1;23;1;Kadin;78;2;4;Yonetici;4;Evli;15427;22021;2;Y;Hayir;16;3;3;80;0;31;3;3;25;8;3;7
38;Hayir;Bazen;371;Arastirma Gelistirme;2;3;Fen;1;24;4;Erkek;45;3;1;Arastirmaci;4;Bekar;3944;4306;5;Y;Evet;11;3;3;80;0;6;3;3;3;2;1;2
24;Hayir;Hic;673;Arastirma Gelistirme;11;2;Diger;1;26;1;Kadin;96;4;2;Uretim Direktoru;3;Bosanmis;4011;8232;0;Y;Hayir;18;3;4;80;1;5;5;2;4;2;1;3
36;Evet;Bazen;1218;Satis;9;4;Fen;1;27;3;Erkek;82;2;1;Satis Temsilcisi;1;Bekar;3407;6986;7;Y;Hayir;23;4;2;80;0;10;4;3;5;3;0;3
